Part ID,Serial #,Barcode,Version,Name Label,KindOfPart,Manufacturer,Comments,User,Action
31322,VM:L1:Q0:R18:M9,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31321,VM:L1:Q0:R18:M10,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31320,VM:L1:Q0:R18:M11,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31319,VM:L1:Q0:R18:M12,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31318,VM:L1:Q0:R18:M13,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31317,VM:L1:Q0:R18:M14,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31316,VM:L1:Q0:R18:M15,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31315,VM:L1:Q0:R18:M16,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31314,VM:L1:Q0:R18:M17,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31313,VM:L1:Q0:R17:M1,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31312,VM:L1:Q0:R17:M2,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31311,VM:L1:Q0:R17:M3,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31310,VM:L1:Q0:R17:M4,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31309,VM:L1:Q0:R17:M5,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31308,VM:L1:Q0:R17:M6,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31307,VM:L1:Q0:R17:M7,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31306,VM:L1:Q0:R17:M8,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31305,VM:L1:Q0:R17:M9,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31304,VM:L1:Q0:R17:M10,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31303,VM:L1:Q0:R17:M11,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31302,VM:L1:Q0:R17:M12,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31301,VM:L1:Q0:R17:M13,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31300,VM:L1:Q0:R17:M14,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31299,VM:L1:Q0:R17:M15,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31298,VM:L1:Q0:R16:M1,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31297,VM:L1:Q0:R16:M2,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31296,VM:L1:Q0:R16:M3,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31295,VM:L1:Q0:R16:M4,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31294,VM:L1:Q0:R16:M5,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31293,VM:L1:Q0:R16:M6,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31292,VM:L1:Q0:R16:M7,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31291,VM:L1:Q0:R16:M8,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31290,VM:L1:Q0:R16:M9,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31289,VM:L1:Q0:R16:M10,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31288,VM:L1:Q0:R16:M11,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31287,VM:L1:Q0:R16:M12,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31286,VM:L1:Q0:R16:M13,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31285,VM:L1:Q0:R15:M1,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
31284,VM:L1:Q0:R15:M2,,,,Slot,ProdDB-Virtual Manufacturer,,anstein,
